Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)",4/16,1.545021824146898e-05,0.0146776119671741,0,0,34.00343642611684,376.686240929682,COX8A;COX4I1;COX7A2;COX6A1
GO_Biological_Process_2023,Regulation Of Oxidative Phosphorylation (GO:0002082),4/17,2.004791091349473e-05,0.0146776119671741,0,0,31.38620142743854,339.51664346912577,PINK1;COX7A2;NUPR1;SLC25A33
GO_Biological_Process_2023,Regulation Of p38MAPK Cascade (GO:1900744),5/37,3.046144302868773e-05,0.0146776119671741,0,0,16.00550518134715,166.4420300428516,GADD45B;GADD45A;SPHK1;EZR;GADD45G
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),6/68,5.734681101610696e-05,0.0146776119671741,0,0,9.949596774193548,97.17167548792366,COX8A;NDUFB8;NDUFA6;COX4I1;COX7A2;COX6A1
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),6/70,6.758029543714595e-05,0.0146776119671741,0,0,9.6376953125,92.54302111568866,COX8A;NDUFB8;NDUFA6;COX4I1;COX7A2;COX6A1
GO_Biological_Process_2023,Neutrophil Chemotaxis (GO:0030593),6/70,6.758029543714595e-05,0.0146776119671741,0,0,9.6376953125,92.54302111568866,LGALS3;CXADR;EDN3;PDE4B;S100A9;S100A8
GO_Biological_Process_2023,Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903050),4/24,8.477937165481335e-05,0.0146776119671741,0,0,20.39381443298969,191.20135686675377,ATP5IF1;EFNA1;PINK1;UBB
GO_Biological_Process_2023,Positive Regulation Of p38MAPK Cascade (GO:1900745),4/24,8.477937165481335e-05,0.0146776119671741,0,0,20.39381443298969,191.20135686675377,GADD45B;GADD45A;SPHK1;GADD45G
GO_Biological_Process_2023,Granulocyte Chemotaxis (GO:0071621),6/73,8.561147615331676e-05,0.0146776119671741,0,0,9.204757462686567,86.20891611913531,LGALS3;CXADR;EDN3;PDE4B;S100A9;S100A8
GO_Biological_Process_2023,Positive Regulation Of Peptidase Activity (GO:0010952),4/25,0.00010014915728058136,0.0148381850354549,0,0,19.42169857633775,178.85150719569245,CLDN4;PINK1;CLDN3;CTSH
GO_Biological_Process_2023,Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242),5/48,0.00010956012215550164,0.0148381850354549,0,0,11.904446318833594,108.55708761980242,PINK1;NUPR1;S100A9;S100A8;HERPUD1
GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),6/77,0.00011539742088493834,0.0148381850354549,0,0,8.684419014084508,78.74274361308272,LGALS3;CXADR;EDN3;PDE4B;S100A9;S100A8
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),6/85,0.00019938709613146776,0.0236657145639119,0,0,7.8018196202531644,66.47355048696096,COX8A;NDUFB8;NDUFA6;COX4I1;COX7A2;COX6A1
GO_Biological_Process_2023,Positive Regulation Of Cellular Metabolic Process (GO:0031325),5/56,0.0002292542962462374,0.0252670985077103,0,0,10.033018388702631,84.08350357274209,ARG2;PAX8;GADD45A;HPN;YPEL3
GO_Biological_Process_2023,Positive Regulation Of Proteolysis (GO:0045862),5/59,0.00029335108505246314,0.0301760482823967,0,0,9.474189215121855,77.06438547713928,CYFIP2;ATP5IF1;PINK1;CTSH;PACSIN3
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process (GO:0043066),14/482,0.00033261373325339544,0.0320764369006243,0,0,3.1433017465626163,25.17322225469095,SPHK1;HPN;PRDX5;GCLC;PINK1;KRT18;CTSH;VDAC1;SFN;PIM3;TMBIM6;NUPR1;RETREG1;CRYAB
GO_Biological_Process_2023,Positive Regulation Of Cell Migration (GO:0030335),10/272,0.0003960741761953795,0.0323455068968387,0,0,3.9670293974338153,31.077347500656582,CSF1R;CLDN4;APELA;CLDN3;SPHK1;CTSH;F2RL1;PLET1;S100A11;HBEGF
GO_Biological_Process_2023,Astrocyte Development (GO:0014002),3/15,0.0003982920486324929,0.0323455068968387,0,0,25.371794871794872,198.6186568823224,APP;IFNGR1;S100A9
GO_Biological_Process_2023,Regulation Of Amyloid Fibril Formation (GO:1905906),3/15,0.0003982920486324929,0.0323455068968387,0,0,25.371794871794872,198.6186568823224,APP;CRYAB;PFDN5
GO_Biological_Process_2023,Regulation Of Mitochondrial Membrane Potential (GO:0051881),4/39,0.0005844016218584863,0.0411437846645106,0,0,11.644771723122238,86.69441838396985,ATP5IF1;PINK1;UBB;SLC25A33
GO_Biological_Process_2023,Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244),4/39,0.0005844016218584863,0.0411437846645106,0,0,11.644771723122238,86.69441838396985,UBB;NUPR1;S100A9;S100A8
GO_Biological_Process_2023,Regulation Of Aerobic Respiration (GO:1903715),3/17,0.0005866255752554979,0.0411437846645106,0,0,21.745054945054942,161.80764595422264,PINK1;COX7A2;SLC25A33
GO_Biological_Process_2023,Positive Regulation Of Stress-Activated MAPK Cascade (GO:0032874),6/105,0.0006232184927212821,0.0414732319411582,0,0,6.219381313131313,45.902848997420215,APP;GADD45B;GADD45A;SPHK1;F2RL1;GADD45G
GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),17/705,0.0006708849151778473,0.0414732319411582,0,0,2.60935693177438,19.066343951010115,GADD45B;GADD45A;SPHK1;HPN;GADD45G;PRDX5;GCLC;PINK1;KRT18;PAX8;UBB;CTSH;VDAC1;PIM3;TMBIM6;NUPR1;CRYAB
GO_Biological_Process_2023,Cell Junction Maintenance (GO:0034331),3/18,0.0006988360534479026,0.0414732319411582,0,0,20.29435897435897,147.4607278448265,CSF1R;CLDN3;F2RL1
GO_Biological_Process_2023,Intracellular Sodium Ion Homeostasis (GO:0006883),3/18,0.0006988360534479026,0.0414732319411582,0,0,20.29435897435897,147.4607278448265,SCNN1A;ATP1A1;ATP1B1
GO_Biological_Process_2023,Regulation Of JNK Cascade (GO:0046328),6/110,0.0007963395821252695,0.0450757457822413,0,0,5.9188701923076925,42.23400860042824,APP;PINK1;GADD45B;GADD45A;F2RL1;GADD45G
GO_Biological_Process_2023,Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules (GO:0016338),3/19,0.0008238410456378521,0.0450757457822413,0,0,19.025,135.10666442022466,CLDN4;CLDN8;CLDN7
GO_Biological_Process_2023,Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),4/43,0.0008502220400736015,0.0450757457822413,0,0,10.44832143801216,73.86976859320099,COX8A;COX4I1;COX7A2;COX6A1
GO_Biological_Process_2023,Positive Regulation Of Cellular Process (GO:0048522),15/594,0.0008763916872762411,0.0450757457822413,0,0,2.7213397887822417,19.157408731854,CSF1R;EDN3;SPHK1;HPN;BST1;SLC6A6;ZFP36;ADGRG1;EPCAM;CTSH;NUPR1;S100A9;SLC25A33;S100A8;HBEGF
GO_Biological_Process_2023,Cell Projection Organization (GO:0030030),3/20,0.0009621891486724228,0.0478921889161789,0,0,17.90497737556561,124.3733355057115,CYFIP2;PACSIN2;CAPG
