Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Cellular Respiration (GO:0045333)	13/85	2.491585e-12	3.323774e-09	0	0	1.915151e+01	5.116920e+02	COX8A;NDUFB9;NDUFB8;NDUFA7;NDUFA11;NDUFB11;COX4I1;NDUFA3;NDUFB1;COX6A1;COX6C;COX6B1;NDUFS4
GO_Biological_Process_2023	Aerobic Electron Transport Chain (GO:0019646)	11/68	6.702592e-11	4.134606e-08	0	0	2.026726e+01	4.747797e+02	COX8A;NDUFB9;NDUFB8;NDUFA7;COX4I1;NDUFA3;NDUFS4;NDUFB1;COX6A1;COX6C;COX6B1
GO_Biological_Process_2023	Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)	11/70	9.298213e-11	4.134606e-08	0	0	1.957825e+01	4.522305e+02	COX8A;NDUFB9;NDUFB8;NDUFA7;COX4I1;NDUFA3;NDUFS4;NDUFB1;COX6A1;COX6C;COX6B1
GO_Biological_Process_2023	Aerobic Respiration (GO:0009060)	9/59	6.520018e-09	2.174426e-06	0	0	1.871147e+01	3.526811e+02	NDUFB9;NDUFB8;NDUFA7;NDUFA11;NDUFB11;NDUFA3;NDUFS4;NDUFB1;CHCHD10
GO_Biological_Process_2023	Oxidative Phosphorylation (GO:0006119)	9/63	1.186683e-08	3.166071e-06	0	0	1.732193e+01	3.161169e+02	NDUFB9;NDUFB8;NDUFA7;NDUFA11;NDUFB11;NDUFA3;NDUFS4;NDUFB1;CHCHD10
GO_Biological_Process_2023	Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)	8/53	5.039617e-08	1.120475e-05	0	0	1.838837e+01	3.089862e+02	NDUFB9;NDUFB8;NDUFA7;NDUFA11;NDUFB11;NDUFA3;NDUFS4;NDUFB1
GO_Biological_Process_2023	Proton Motive Force-Driven ATP Synthesis (GO:0015986)	8/60	1.370799e-07	2.612350e-05	0	0	1.590737e+01	2.513794e+02	NDUFB9;NDUFB8;NDUFA7;NDUFA11;NDUFB11;NDUFA3;NDUFS4;NDUFB1
GO_Biological_Process_2023	Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)	5/16	3.705387e-07	6.178732e-05	0	0	4.636832e+01	6.866364e+02	COX8A;COX4I1;COX6A1;COX6C;COX6B1
GO_Biological_Process_2023	NADH Dehydrogenase Complex Assembly (GO:0010257)	7/53	9.089487e-07	1.163555e-04	0	0	1.565727e+01	2.178079e+02	NDUFB9;NDUFB8;NDUFA11;NDUFB11;NDUFA3;NDUFS4;NDUFB1
GO_Biological_Process_2023	Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981)	7/53	9.089487e-07	1.163555e-04	0	0	1.565727e+01	2.178079e+02	NDUFB9;NDUFB8;NDUFA11;NDUFB11;NDUFA3;NDUFS4;NDUFB1
GO_Biological_Process_2023	Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)	6/34	9.594529e-07	1.163555e-04	0	0	2.195374e+01	3.042108e+02	NDUFB9;NDUFB8;NDUFA7;NDUFA3;NDUFS4;NDUFB1
GO_Biological_Process_2023	Energy Derivation By Oxidation Of Organic Compounds (GO:0015980)	6/43	4.037233e-06	4.300092e-04	0	0	1.660608e+01	2.062467e+02	COX8A;COX4I1;NDUFS4;COX6A1;COX6C;COX6B1
GO_Biological_Process_2023	Metanephros Development (GO:0001656)	5/25	4.190494e-06	4.300092e-04	0	0	2.549098e+01	3.156469e+02	OSR2;PAX8;WNT7B;CTSH;PAX2
GO_Biological_Process_2023	Metanephric Nephron Tubule Development (GO:0072234)	3/6	1.898263e-05	1.808773e-03	0	0	1.010102e+02	1.098182e+03	PAX8;WNT7B;PAX2
GO_Biological_Process_2023	Mitochondrial Respiratory Chain Complex Assembly (GO:0033108)	7/90	3.230635e-05	2.749366e-03	0	0	8.661270e+00	8.955967e+01	NDUFB9;NDUFB8;NDUFA11;NDUFB11;NDUFA3;NDUFS4;NDUFB1
GO_Biological_Process_2023	Kidney Epithelium Development (GO:0072073)	3/7	3.297591e-05	2.749366e-03	0	0	7.575383e+01	7.817593e+02	PAX8;WNT7B;PAX2
GO_Biological_Process_2023	Urogenital System Development (GO:0001655)	3/10	1.105920e-04	8.196096e-03	0	0	4.328134e+01	3.942784e+02	OSR2;PAX8;PAX2
GO_Biological_Process_2023	Mesonephros Development (GO:0001823)	3/10	1.105920e-04	8.196096e-03	0	0	4.328134e+01	3.942784e+02	OSR2;PAX8;PAX2
GO_Biological_Process_2023	Proton Transmembrane Transport (GO:1902600)	5/49	1.239296e-04	8.701162e-03	0	0	1.157275e+01	1.041061e+02	FXYD2;SLC4A11;ATP1A1;ATP1B1;ATP6V1F
GO_Biological_Process_2023	Epithelium Development (GO:0060429)	8/154	1.576404e-04	1.051462e-02	0	0	5.638672e+00	4.936766e+01	EHF;NDRG4;APELA;BDH2;SPINT1;PAX8;WNT7B;PAX2
GO_Biological_Process_2023	Sodium Ion Export Across Plasma Membrane (GO:0036376)	3/12	1.997932e-04	1.211473e-02	0	0	3.365986e+01	2.867224e+02	FXYD2;ATP1A1;ATP1B1
GO_Biological_Process_2023	Positive Regulation Of Sodium Ion Transmembrane Transporter Activity (GO:2000651)	3/12	1.997932e-04	1.211473e-02	0	0	3.365986e+01	2.867224e+02	FXYD2;ANK3;ATP1B1
GO_Biological_Process_2023	Intracellular Potassium Ion Homeostasis (GO:0030007)	3/13	2.578302e-04	1.495415e-02	0	0	3.029235e+01	2.503120e+02	FXYD2;ATP1A1;ATP1B1
GO_Biological_Process_2023	Anterior/Posterior Pattern Specification (GO:0009952)	5/59	3.002379e-04	1.668822e-02	0	0	9.424876e+00	7.644456e+01	HOXB9;HOXA7;HOXB7;HOXB6;WLS
GO_Biological_Process_2023	Regulation Of Branching Involved In Ureteric Bud Morphogenesis (GO:0090189)	3/14	3.257469e-04	1.738185e-02	0	0	2.753711e+01	2.211062e+02	PAX8;TACSTD2;PAX2
GO_Biological_Process_2023	Negative Regulation Of Programmed Cell Death (GO:0043069)	12/381	4.538941e-04	2.328826e-02	0	0	3.379331e+00	2.601290e+01	PRDX3;PRDX5;XBP1;KRT18;NIBAN2;GSTP1;SCX;CTSH;PEPD;CRYAB;PAX2;AQP1
GO_Biological_Process_2023	Response To Reactive Oxygen Species (GO:0000302)	5/66	5.066839e-04	2.503394e-02	0	0	8.340375e+00	6.328362e+01	PRDX3;PRDX5;GSTP1;ROMO1;HIF1A
GO_Biological_Process_2023	Central Nervous System Development (GO:0007417)	10/283	5.614318e-04	2.674821e-02	0	0	3.784716e+00	2.832868e+01	NDRG4;ADGRG1;RTN1;PAX8;GSTP1;DDIT4;NDUFS4;MAL;PHGDH;CAPG
GO_Biological_Process_2023	Embryonic Heart Tube Development (GO:0035050)	3/17	5.952916e-04	2.738341e-02	0	0	2.163302e+01	1.606567e+02	NDRG4;APELA;PITX2
GO_Biological_Process_2023	Intracellular Sodium Ion Homeostasis (GO:0006883)	3/18	7.091333e-04	3.153279e-02	0	0	2.018980e+01	1.464056e+02	FXYD2;ATP1A1;ATP1B1
GO_Biological_Process_2023	Cellular Response To Reactive Oxygen Species (GO:0034614)	5/73	8.051438e-04	3.464716e-02	0	0	7.479154e+00	5.328516e+01	PRDX3;PRDX5;ROMO1;PAX2;AQP1
GO_Biological_Process_2023	Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules (GO:0016338)	3/19	8.359491e-04	3.482138e-02	0	0	1.892698e+01	1.341344e+02	CLDN4;CLDN8;CLDN7
GO_Biological_Process_2023	Positive Regulation Of Epithelial Cell Differentiation Involved In Kidney Development (GO:2000698)	2/5	9.658105e-04	3.482138e-02	0	0	6.699831e+01	4.651386e+02	PAX8;PAX2
GO_Biological_Process_2023	Intracellular Oxygen Homeostasis (GO:0032364)	2/5	9.658105e-04	3.482138e-02	0	0	6.699831e+01	4.651386e+02	WNT7B;HIF1A
GO_Biological_Process_2023	Pronephros Development (GO:0048793)	2/5	9.658105e-04	3.482138e-02	0	0	6.699831e+01	4.651386e+02	PAX8;PAX2
GO_Biological_Process_2023	Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis (GO:0003337)	2/5	9.658105e-04	3.482138e-02	0	0	6.699831e+01	4.651386e+02	PAX8;PAX2
