source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
PEC,IMM,Spp1,Cd44,2.9118729,0.0,8.467379,2.318621303687404,5.1277506219400735,0.23344296,0.923247,0.000997535450710454,1.8668359373831852e-05
IMM,PEC,Sema4d,Met,2.6624608,0.0,6.9938464,2.2024162991359706,5.5187631393485255,0.32546496,0.9161929,0.00014070756089727977,7.460163611524555e-05
TEC,PEC,Cdh1,Ptprf,2.5026317,0.0,5.646872,1.820396326128828,4.4574666984305065,0.2581562,0.90760565,0.0006287181883903009,0.00036023788980820527
PEC,TEC,Spint1,St14,2.4513402,0.0,5.9955254,1.8539726243870402,4.277995279779855,0.22892971,0.9100872,0.0011078660883762402,0.00039365509610855105
PEC,PEC,Spint1,St14,2.3525643,0.0,5.4882674,1.772224861105037,3.980191094514032,0.20956089,0.9064042,0.0019746954731473896,0.0005828503184099332
PEC,IMM,Hbegf,Cd44,2.3296032,0.0,4.9508348,1.9060988379404584,4.234551161552474,0.23952718,0.9019403,0.0010407530266318586,0.0007606857321065557
PEC,IMM,Lamc2,Cd44,2.3001409,0.0,4.772899,1.9635136513418943,4.352643743336584,0.32061478,0.9003097,0.0007991342481269237,0.0008584108066465995
TEC,PEC,Spint1,St14,2.1428337,0.0,4.591707,1.5886980930905252,3.872820859415678,0.17532714,0.8985594,0.0037804203416367905,0.0015676315253762042
PEC,END,Egf,Axl,0.12641174,1.0,0.015979715,-0.4818544119380971,-3.945254234481618,0.00059622165,0.34320942,1.0,0.0025929125897959423
MES,PEC,Ptn,Sdc4,2.0489414,0.0,4.0317636,1.1272548423268096,1.6495082905019527,0.08902656,0.892477,0.06971427646657191,0.0027486751897841926
PEC,MES,Spp1,Ptger4,2.068851,0.0,3.7396157,1.2955051222926652,2.530249518080386,0.10776536,0.8888141,0.03069823912638988,0.002838982467872595
PEC,POD,Thbs1,Sdc4,2.0186033,0.0,3.7752984,1.3932496807047237,2.0759709404027262,0.09146732,0.8892825,0.06971427646657191,0.0035114461625735827
PEC,END,Bst1,Cav1,2.0323865,0.0,3.4191704,1.4062740281372623,3.2565862628054267,0.18799052,0.8843098,0.008578218326177953,0.00425424708358172
PEC,IMM,Lamb3,Cd44,2.0593958,0.0,3.3189504,2.1685258258075093,6.029835340898867,0.5280072,0.88277936,1.924197580817461e-05,0.004827718852360581
PEC,POD,Agt,Enpep,1.9753658,0.0,3.4516363,1.425531808811324,3.384930034818322,0.2742945,0.8847924,0.0068683183391299255,0.004946692146727563
PEC,END,Spp1,S1pr1,1.9852605,0.0,3.2708309,1.1271071811834106,2.3809259139982846,0.12350855,0.88202167,0.03841440138371504,0.005436818449747816
PEC,IMM,Lgals1,Ptprc,2.067988,0.0,3.1511126,1.8763474969550402,4.100875625762649,0.13276854,0.88006765,0.0127801758374446,0.005819335264608142
PEC,POD,Egf,Cav1,0.13995424,1.0,0.019416045,-0.4214975394772673,-3.6714977891595257,0.0011823486,0.36548528,1.0,0.007774254777926303
PEC,POD,Plau,Itgb5,1.8688016,0.0,3.2743526,1.3477946924836055,3.3718768441870766,0.16807652,0.8820776,0.007175065266399815,0.009501137995824787
PEC,TEC,Plau,St14,1.8683944,0.0,3.273211,1.451579936839706,4.154019159774032,0.19327025,0.88205945,0.0024029156762418657,0.00983357128998541
TEC,PEC,Kng2,Sdc2,1.9744644,0.0,2.7096627,1.174415035516191,4.842414403814333,0.1295224,0.8718711,0.014552361880152536,0.010515170507535808
PEC,PEC,Sema4d,Met,1.9269644,0.0,2.624354,1.4634617807441281,2.5835101351694085,0.12212667,0.8700737,0.028747887213100093,0.011761506879182303
TEC,PEC,Kng2,Plaur,1.9556198,0.0,2.5941527,1.2410332140844442,5.092861166898192,0.1796672,0.869418,0.003729480237465748,0.01231645146601196
PEC,POD,Tgm2,Sdc4,1.8318219,0.0,2.8167984,0.9513298660895593,1.3713056328154654,0.07155992,0.8740215,0.06971427646657191,0.01231645146601196
PEC,IMM,Col4a4,Cd44,1.9245834,0.0,2.504767,1.569178403856318,3.48850646854009,0.121189654,0.8674147,0.01870182250997566,0.01445755186051138
PEC,PEC,Plau,St14,1.7696183,0.0,2.9962776,1.369832173557703,3.856214974508209,0.17691843,0.87738305,0.0036789919523130686,0.015070379056052255
PEC,IMM,Plau,Itgam,1.7459624,0.0,2.9299545,1.8156300633498583,5.887417760105168,0.38197172,0.8761739,5.635798606028171e-05,0.01742278661030898
PEC,MES,Egf,Cav1,0.14946549,1.0,0.021829471,-0.41153531927582654,-3.6672419541050836,0.0013293152,0.37917438,1.0,0.018119018729216754
PEC,IMM,Col4a5,Cd44,1.8962783,0.0,2.3338215,1.6004845379193338,3.3768024729670785,0.13828065,0.8632968,0.010443959547473814,0.01877541893941288
PEC,END,Edn3,Ednrb,1.708148,0.0,2.5529215,1.3245431712474929,3.8004317081024714,0.32029963,0.8685059,0.002479724521456676,0.02212110906529115
PEC,SMC,Bst1,Cav1,1.8177568,0.0,2.1846855,1.1814643287319175,2.516028434931366,0.120116904,0.8593533,0.031299410270692996,0.02237019608122269
PEC,MES,Ccl5,Ccrl2,0.16086727,1.0,0.022734126,-0.19964017354041808,-0.6167031835182846,0.0034848487,0.38396537,1.0,0.023282448949980144
PEC,TEC,Cdh1,Ptprf,1.691792,0.0,2.797823,1.224658772399864,2.619419424224248,0.12790716,0.8736489,0.027062118610122712,0.025198615644682322
MES,PEC,Angptl4,Sdc4,1.6902125,0.0,2.8543985,0.8101081195524807,1.6077366187270399,0.07850107,0.8747497,0.06971427646657191,0.02546376493347875
IMM,PEC,F10,F3,1.6811943,0.0,2.8006415,1.2875237596464866,4.337632138553406,0.22252613,0.87370443,0.0025979334064392887,0.026809487999989043
PEC,MES,Agt,Agtr1a,1.671451,0.0,2.6588914,1.4108290270739157,2.982690836612384,0.2922301,0.8708109,0.015303421365136722,0.02818842284773201
MES,PEC,Ptn,Sdc2,1.6704907,0.0,2.1721632,0.9373226699190902,1.241131762451302,0.073684484,0.8590056,0.06971427646657191,0.02874927437937779
IMM,PEC,Col4a3,Cd93,0.15895997,1.0,0.02507895,-0.3442273018975689,-1.0505426496866415,0.002548182,0.39563888,1.0,0.03359141841946518
PEC,END,Ada,Dpp4,0.16112062,1.0,0.025934279,-0.3687167886574646,-1.9185308293630132,0.0028901426,0.39965528,1.0,0.03616493488989007
PEC,IMM,Lcn2,Fcgr3,1.903728,0.0,1.8448509,1.9108974620582457,4.993431644955659,0.23354803,0.8488221,0.0009763779466719017,0.03779301943529383
TEC,PEC,Col1a2,Cd93,0.16201857,1.0,0.026135508,-0.26338039385103285,-1.0418853677455102,0.003313902,0.40058285,1.0,0.03873696664333436
PEC,IMM,Sema4d,Cd72,1.6264551,0.0,2.0933597,1.4500974033581011,4.078497731795352,0.1896067,0.8567529,0.002518726146281427,0.03876196273686423
PEC,IMM,Spp1,Ptger4,1.7272732,0.0,1.8240086,0.9178899414899402,1.7934761522924512,0.05256287,0.84809166,0.06971427646657191,0.03941439989479016
PEC,POD,Tnc,Sdc4,1.6352699,0.0,1.808159,0.8845966621808294,2.3599503330605724,0.08938829,0.8475286,0.05411443405136634,0.04040275096835613
SMC,PEC,Dcn,Met,1.789151,0.0,1.8056208,1.3463921734375301,4.498136382537517,0.19422077,0.84743786,0.00229065954169227,0.040734776448881786
PEC,POD,Vegfc,Flt1,0.1686398,1.0,0.026304714,-0.2656480954680856,-0.877035795244327,0.009259187,0.4013579,1.0,0.041307505798607126
PEC,SMC,Thbs1,Sdc4,1.6190937,0.0,2.599643,1.0178618419143382,1.5209807308745833,0.06298373,0.869538,0.06971427646657191,0.04207577670093175
PEC,MES,Rarres2,Ccrl2,0.17815593,1.0,0.026357638,-0.36203419736535736,-0.99358326279641,0.0022748571,0.40159938,1.0,0.046444124657059944
POD,PEC,Ntrk3,Ptprf,1.6041539,0.0,2.5604424,1.2055331914674148,2.9872221993850077,0.26236677,0.86867374,0.015176543868502292,0.04693088387128931
MES,PEC,Col4a4,Cd93,0.16478716,1.0,0.027091887,-0.30552427959195705,-1.068344740827951,0.0026625793,0.40490532,1.0,0.051574790768937145
PEC,POD,Pam,Dpp4,1.6111007,0.0,1.659841,0.8360407971109611,1.6575228282447014,0.08750469,0.841916,0.06971427646657191,0.05316170971300799
PEC,IMM,Col4a3,Cd44,1.7785839,0.0,1.6230209,1.3941773799549448,3.102332511136801,0.08118582,0.8404175,0.06971427646657191,0.05583332329605718
PEC,MES,Ada,Dpp4,0.1659778,1.0,0.027450336,-0.3644182624868102,-1.7920921801111194,0.0030590936,0.40648988,1.0,0.056699515871069556
PEC,PEC,Cdh1,Ptprf,1.5778661,0.0,2.4701393,1.1166917735956905,1.2927169953247502,0.11292655,0.86661214,0.06971427646657191,0.05817215211007762
PEC,IMM,Fn1,C5ar1,1.799591,0.0,1.5754716,1.694109660483319,5.051263898814618,0.16671325,0.8384134,0.00471733048402275,0.06055589536799952
PEC,POD,Cxcl10,Dpp4,1.5946373,0.0,1.5749403,0.8492571188098706,1.8872908102056896,0.07700572,0.8383906,0.06971427646657191,0.06095753432516224
PEC,POD,Cxcl10,Sdc4,1.5883188,0.0,1.5672216,0.6977546348081854,1.4089334541671512,0.039589252,0.83805746,0.07154653085309944,0.0629843669600593
TEC,PEC,Spp1,Cd44,1.7182978,0.0,1.5621465,1.0531172772040502,2.055988115801866,0.04306789,0.8378373,0.06971427646657191,0.06380376495343468
PEC,PEC,Thbs1,Sdc4,1.5561981,0.0,2.4145575,0.9587638018996519,1.2503820618452568,0.05849951,0.86529124,0.06971427646657191,0.06380376495343468
PEC,IMM,C3,Itgam,1.5539231,0.0,2.127192,1.6428149326944679,6.039008484466946,0.32894775,0.85773385,0.00022284971101694918,0.06504212113531997
PEC,TEC,Bst1,Cav1,1.7074411,0.0,1.5501839,1.065917491022665,2.3930440720241277,0.08523117,0.83731437,0.06312119998105595,0.06587386178027022
PEC,POD,Mdk,Sdc4,1.5844334,0.0,1.5472833,0.8440677583323574,2.181430086657151,0.083439164,0.83718675,0.06971427646657191,0.06713069954932611
PEC,IMM,Cd14,Itgb2,1.730887,0.0,1.5419778,1.6318616786974247,2.2092073823343363,0.092939645,0.8369525,0.056430877152496534,0.06839860620778263
PEC,IMM,Fn1,Cd44,1.7648419,0.0,1.540028,1.6251486298365674,4.1585535802185465,0.13715333,0.8368662,0.01094820553532516,0.06967753663894047
PEC,POD,Spp1,Ptger4,1.6728889,0.0,1.5190152,0.8577680100153958,1.4695213248891617,0.043773808,0.83592623,0.06971427646657191,0.07314180315293187
PEC,POD,Ccl5,Ccrl2,0.17613257,1.0,0.029357437,-0.1833259816349615,-0.5150603873867997,0.0045001167,0.41461688,1.0,0.07458928331235866
PEC,PEC,Spp1,Cd44,1.6716013,0.0,1.5117942,1.0143192746966336,1.6647876424058459,0.04167969,0.8355992,0.06971427646657191,0.07490316250582564
TEC,PEC,Sema4d,Met,1.7339426,0.0,1.4776351,1.2695323791250845,1.7052022930423774,0.06876308,0.83402336,0.06971427646657191,0.08076134288502962
SMC,PEC,Tgfb3,Itgb6,1.4943292,0.0,2.227768,1.0352145678883735,3.683610077107731,0.21115698,0.8605293,0.01255505581497985,0.08493611166251322
PEC,IMM,C3,C3ar1,1.4866382,0.0,1.990234,1.3625825818652826,5.686234315649086,0.30732042,0.8536249,0.0014863992677997817,0.087773060393881
TEC,PEC,Gpc3,Flt1,0.1749546,1.0,0.030608626,-0.44542286974202705,-0.9364055611759267,0.004289695,0.41969064,1.0,0.08986554768651966
PEC,SMC,Edn3,Ednra,1.483523,0.0,1.5141776,1.3211212352286792,3.983854861649025,0.33934093,0.83570737,0.0019746954731473896,0.09065282645930227
POD,PEC,Hspg2,Lrp1,0.1812473,1.0,0.030674875,-0.3303119258652071,-0.9285446807314602,0.0032833298,0.4199539,1.0,0.09240641257970125
PEC,MES,Thbs1,Itga4,1.4703052,0.0,2.161796,1.3040942572249852,2.3703011150206796,0.17704305,0.8587156,0.03887580738389321,0.0955470537568514
END,PEC,Serping1,Lrp1,0.18177497,1.0,0.030915387,-0.3071997976009074,-1.116047756135337,0.0028966588,0.42090547,1.0,0.09748369640118809
PEC,TEC,Thbs1,Sdc4,1.4652084,0.0,2.1467977,0.8732668478259469,0.9688627116730211,0.05201227,0.85829276,0.06971427646657191,0.09904298484823928
PEC,IMM,C3,Itgax,1.4648416,0.0,1.9458671,1.4559847779351873,6.045124654774135,0.3258754,0.85221076,0.0007991342481269237,0.0995470947718501
TEC,PEC,Spp1,Ptger4,1.6857333,0.0,1.3734384,0.8591421216495148,1.746776573124901,0.039578684,0.82890004,0.07177231854626939,0.101575170191426
POD,PEC,Cxcl12,Sdc4,1.4582598,0.0,2.0931194,0.5923444569025184,0.44273915751954207,0.05979523,0.85674584,0.1867581493551194,0.10259620732014206
PEC,MES,Thbs1,Lrp1,1.4508737,0.0,2.1046143,1.353753244439103,2.1376200781634616,0.15997747,0.8570816,0.06470813519751721,0.10568720757067614
PEC,TEC,Sema4d,Met,1.4334257,0.0,1.7522804,1.0543949966783495,1.8766101254139844,0.081543945,0.84548926,0.06971427646657191,0.11199408759560184
PEC,SMC,Tgm2,Sdc4,1.4323123,0.0,1.9396268,0.5759420272991735,0.8163154232873225,0.04927564,0.8520084,0.0845242778387519,0.11252713446022433
POD,PEC,Col4a3,Cd44,1.5044087,0.0,1.331512,0.9999607551708201,1.6091189419660739,0.06660413,0.8266904,0.06971427646657191,0.11252713446022433
PEC,TEC,Mdk,Sorl1,1.4318391,0.0,1.3632443,1.0670046211452349,3.5355031221558075,0.146832,0.8283711,0.010543575104358962,0.1141331661993483
PEC,PEC,Spp1,Ptger4,1.6390368,0.0,1.3291686,0.8203441191420983,1.3555760997288808,0.03830295,0.82656413,0.07977236317034136,0.1141331661993483
PEC,PEC,Bst1,Cav1,1.6683509,0.0,1.325349,1.0249733242200674,2.2633459726899456,0.07286944,0.8263578,0.06971427646657191,0.11629056623740133
