source,target,ligand_complex,receptor_complex,magnitude_rank_ctrl,magnitude_rank_neph,delta_rank_ctrl_minus_neph
PEC,END,Edn3,Ednrb,0.93101309175227,0.003254947403917589,0.9277581443483524
PEC,SMC,Tgm2,Sdc4,0.9995407951291444,0.08623374013702466,0.9133070549921197
PEC,END,Spp1,S1pr1,0.8675447407917853,0.0008805759622886331,0.8666641648294967
PEC,PEC,Tgm2,Sdc4,0.9089143204762363,0.0764321815794792,0.8324821388967572
IMM,PEC,Tgm2,Sdc4,0.9496564008125337,0.17965509944665903,0.7700013013658746
PEC,MES,Thbs1,Sdc4,0.9930627576839404,0.2345731817410795,0.7584895759428609
SMC,PEC,Ntrk3,Ptprf,0.9818874329472791,0.22975847981097766,0.7521289531363015
PEC,MES,Dll4,Notch2,0.9160900769786005,0.18328102957420775,0.7328090474043927
PEC,TEC,Spp1,Ptger4,1.0,0.28173283406516625,0.7182671659348338
PEC,POD,Cxcl1,Dpp4,0.779342301715894,0.07716671636833253,0.7021755853475615
PEC,PEC,Spp1,Ptger4,0.7414799853974817,0.04087576440323323,0.7006042209942485
PEC,END,Bst1,Cav1,0.6826566616333489,0.0003922359715081519,0.6822644256618408
PEC,MES,Spp1,S1pr1,0.8012261007615389,0.11930387715202337,0.6819222236095155
PEC,PEC,Cdh1,Ptprf,0.6946854005498709,0.01705488229247504,0.6776305182573958
PEC,TEC,Spp1,S1pr1,0.8078114818372043,0.13454285846220826,0.673268623374996
PEC,SMC,Thbs1,Sdc4,0.7030422435761855,0.03307111174723017,0.6699711318289553
IMM,PEC,Apoe,Sorl1,0.7420520983858413,0.07679903662188493,0.6652530617639564
PEC,IMM,Adm,Ramp1,1.0,0.3394168572008062,0.6605831427991937
PEC,MES,Thbs1,Sdc1,0.8410497513395914,0.1818164009135193,0.6592333504260721
MES,PEC,Angptl4,Sdc2,0.7559722178750921,0.09780488571787577,0.6581673321572163
PEC,END,Adm,Ramp3,1.0,0.3528984511628042,0.6471015488371958
PEC,MES,Cxcl12,Avpr1a,0.9919493857739963,0.34790723153239833,0.6440421542415979
PEC,SMC,Plau,Itgb5,0.8617984808506645,0.23095818074153568,0.6308403001091287
PEC,POD,Spp1,Ptger4,0.6594688299136354,0.03331856951765325,0.6261502603959822
MES,PEC,Plau,St14,0.7282102908176717,0.10320762247907436,0.6250026683385974
PEC,PEC,Plau,Plaur,0.8942564902307306,0.27137049111737843,0.6228859991133522
PEC,PEC,Thbs1,Sdc4,0.633642043336524,0.030407303780366834,0.6032347395561571
PEC,SMC,Bst1,Cav1,0.6182990158123505,0.01652009594608982,0.6017789198662606
PEC,IMM,Sema3g,Fcgr3,0.8219222570969625,0.2258861354116869,0.5960361216852756
TEC,PEC,Plau,St14,0.6759037613161039,0.08354122364806602,0.5923625376680378
MES,PEC,Tnc,Sdc4,0.8219222570969625,0.2303580174232407,0.5915642396737218
SMC,PEC,Adm,Calcrl,1.0,0.41119558979294696,0.5888044102070531
IMM,PEC,Apoe,Sdc2,0.7397396497612833,0.15612578159665302,0.5836138681646302
PEC,END,Rarres2,Ccrl2,1.0,0.4220309792901075,0.5779690207098924
PEC,PEC,Bst1,Cav1,0.6347888492029184,0.058487428231698356,0.5763014209712201
POD,PEC,Adm,Ackr3,0.7645839355102949,0.19501962299652048,0.5695643125137744
PEC,POD,Gas6,Axl,0.9919493857739963,0.4225886899624355,0.5693606958115608
PEC,IMM,Cd14,Itgb2,0.5998373886194286,0.03558523382553794,0.5642521547938907
PEC,IMM,Thbs1,Itga4,0.9325971327868885,0.3709532283439563,0.5616439044429322
TEC,PEC,Spp1,Ptger4,0.6162287962075301,0.056561489402340834,0.5596673068051893
PEC,TEC,Tgm2,Sdc4,0.7213192442701111,0.16277378537860004,0.5585454588915111
SMC,PEC,Cxcl12,Sdc4,0.6291823126113959,0.07716671636833253,0.5520155962430634
PEC,MES,Jag1,Notch3,0.8266927056301814,0.28500396911184206,0.5416887365183394
PEC,SMC,Col4a5,Cd93,1.0,0.45931810993338706,0.5406818900666129
PEC,IMM,Ptn,Sdc4,1.0,0.4617568877616863,0.5382431122383138
