names,scores,logfoldchanges,pvals,pvals_adj
ENSMUSG00000064341,18.637926,3.6114783,1.5826001173821198e-77,8.330173977852526e-73
ENSMUSG00000029304,18.527021,5.963815,1.2502049648818351e-76,3.2902894265760133e-72
ENSMUSG00000070645,16.308468,5.4097114,8.592103962770298e-60,1.5075132806145913e-55
ENSMUSG00000050335,15.57491,3.4101453,1.0780399252516576e-54,1.134874190110925e-50
ENSMUSG00000056501,15.396331,3.0713313,1.7322386964273422e-53,1.5196352670858265e-49
ENSMUSG00000064370,15.381845,2.3085804,2.16683493005568e-53,1.6293360482630112e-49
ENSMUSG00000039168,15.208245,2.6408722,3.1179065220256127e-52,2.0514265961667518e-48
ENSMUSG00000030934,14.968215,2.883646,1.1845857692976796e-50,6.927984061416962e-47
ENSMUSG00000047260,14.793596,2.5253708,1.6111122128555649e-49,8.480250243586552e-46
ENSMUSG00000030587,14.775716,2.9800146,2.101143864564295e-49,1.0054164405018749e-45
ENSMUSG00000005575,14.742784,2.5312884,3.423778234946868e-49,1.5017832597888614e-45
ENSMUSG00000021850,14.381776,2.8593798,6.7343702707109615e-47,2.726694719762632e-43
ENSMUSG00000074227,14.355861,3.3529124,9.790247892295122e-47,3.680853486134614e-43
ENSMUSG00000030218,14.323381,2.5077095,1.5632802827088483e-46,5.469000766032482e-43
ENSMUSG00000064367,14.318742,2.4057114,1.6712228518216676e-46,5.469000766032482e-43
ENSMUSG00000056737,14.314894,2.6242218,1.7663388749629948e-46,5.469000766032482e-43
ENSMUSG00000026568,14.252877,2.834667,4.301838112362504e-46,1.257953060457293e-42
ENSMUSG00000064345,14.174226,3.0478487,1.3229471768518902e-45,3.664981452672426e-42
ENSMUSG00000049422,14.129864,2.7362456,2.486258838020368e-45,6.543336009902005e-42
ENSMUSG00000054452,13.945512,2.473952,3.350342090040116e-44,8.397552678635787e-41
ENSMUSG00000004849,13.940986,2.0955327,3.569770275724673e-44,8.540837646956541e-41
ENSMUSG00000027907,13.92186,3.0201836,4.6660135410496485e-44,1.0678273423769099e-40
ENSMUSG00000056612,13.888475,3.58063,7.440225629082234e-44,1.6317654842182187e-40
ENSMUSG00000002565,13.8707075,2.6392121,9.533129651016162e-44,2.007143249243547e-40
ENSMUSG00000064363,13.853054,2.6151886,1.219169588802175e-43,2.4259371276228147e-40
ENSMUSG00000001864,13.851583,2.5595138,1.2444012167682955e-43,2.4259371276228147e-40
ENSMUSG00000020186,13.828722,2.6362488,1.7103113129673575e-43,3.2151409381910654e-40
ENSMUSG00000032278,13.824761,2.8103821,1.8071033405845167e-43,3.279954877069194e-40
ENSMUSG00000046727,13.710462,2.6562722,8.789701334554894e-43,1.542182398152105e-39
ENSMUSG00000032314,13.702766,2.030647,9.77291614955758e-43,1.6593781111229443e-39
ENSMUSG00000001763,13.697221,2.5684354,1.0548517763692584e-42,1.7350993156553838e-39
ENSMUSG00000026260,13.690657,2.1500614,1.1546051266326762e-42,1.841630165013259e-39
ENSMUSG00000020098,13.654443,2.4753482,1.8993572301551686e-42,2.940428446071984e-39
ENSMUSG00000021996,13.645164,2.3229742,2.1572964666465118e-42,3.1640155035676967e-39
ENSMUSG00000027215,13.644937,2.4448044,2.16400482803475e-42,3.1640155035676967e-39
ENSMUSG00000032366,13.628075,2.5078282,2.7267873819782693e-42,3.879112990211032e-39
ENSMUSG00000034932,13.593672,2.1609836,4.366154195699733e-42,6.047812953811872e-39
ENSMUSG00000051397,13.584052,2.7549775,4.9793456595089267e-42,6.63383553023606e-39
ENSMUSG00000021290,13.583147,2.431491,5.041291534490508e-42,6.63383553023606e-39
ENSMUSG00000019433,13.574773,2.2950795,5.651884131600708e-42,7.255916418315485e-39
ENSMUSG00000091471,13.545236,2.8983996,8.454215817634397e-42,1.0595145328023908e-38
ENSMUSG00000029247,13.517056,2.1151955,1.240399691690928e-41,1.5161509937528863e-38
ENSMUSG00000001025,13.515472,3.328048,1.2673957695327723e-41,1.5161509937528863e-38
ENSMUSG00000037601,13.491367,2.3678985,1.7580906143624254e-41,2.0564190572795695e-38
ENSMUSG00000001056,13.46432,2.288977,2.536416141200542e-41,2.8405702129411004e-38
ENSMUSG00000024953,13.46432,2.888348,2.536416141200542e-41,2.8405702129411004e-38
ENSMUSG00000051043,13.429238,2.3995664,4.075834569854706e-41,4.4694922587265065e-38
ENSMUSG00000062981,13.402983,2.0299509,5.808092264709335e-41,6.239076417249808e-38
ENSMUSG00000063787,13.393703,2.0493445,6.581556671937464e-41,6.928536339682008e-38
ENSMUSG00000040447,13.386686,2.8585749,7.233630767091133e-41,7.465674295227625e-38
ENSMUSG00000026576,13.3754835,3.1353786,8.410546976228855e-41,8.513414435399654e-38
ENSMUSG00000031490,13.361337,2.5469725,1.0172045368677477e-40,1.0102184528786937e-37
ENSMUSG00000068220,13.342665,2.9265287,1.3070339880948008e-40,1.2740192777288505e-37
ENSMUSG00000024944,13.313467,2.1634102,1.9329986663682e-40,1.8499148691446648e-37
ENSMUSG00000024844,13.307582,2.0165586,2.0914109790337827e-40,1.965776933793253e-37
ENSMUSG00000014329,13.305772,2.5246186,2.142702420565711e-40,1.9786541159455575e-37
ENSMUSG00000030120,13.292644,2.2443087,2.5539210397941738e-40,2.29921744638233e-37
ENSMUSG00000051355,13.291965,1.9522427,2.577206272067738e-40,2.29921744638233e-37
ENSMUSG00000032060,13.285741,4.2205625,2.800736656807132e-40,2.4569929111283365e-37
ENSMUSG00000064181,13.203014,2.412314,8.429308933463201e-40,7.2735263118322805e-37
ENSMUSG00000024048,13.197922,1.7165146,9.018884625599373e-40,7.65674211537175e-37
ENSMUSG00000025204,13.168724,2.7792387,1.3282267877284574e-39,1.1097229396646838e-36
ENSMUSG00000029198,13.150278,1.9922851,1.695498572300274e-39,1.3944416070562066e-36
ENSMUSG00000027506,13.137263,2.1841977,2.0137802015424653e-39,1.6307282259752185e-36
ENSMUSG00000027282,13.118138,2.030046,2.592252909330052e-39,2.0673609717499488e-36
ENSMUSG00000036402,13.058951,2.195812,5.650084784563609e-39,4.4387740704520916e-36
ENSMUSG00000031299,13.049219,1.9146428,6.420244611004559e-39,4.969646990365235e-36
ENSMUSG00000002477,13.040731,2.0075734,7.176561174535813e-39,5.4745720867082185e-36
ENSMUSG00000024610,13.030546,1.4055196,8.201874264414072e-39,6.167340768309988e-36
ENSMUSG00000028124,13.003839,2.294514,1.1635381906731237e-38,8.625914958347963e-36
ENSMUSG00000035783,12.998406,3.157339,1.249197943006662e-38,9.132330962235925e-36
ENSMUSG00000041782,12.995463,2.770327,1.2981853135655242e-38,9.360449611621223e-36
ENSMUSG00000055723,12.961174,2.1750605,2.031157372218141e-38,1.4447567492442441e-35
ENSMUSG00000032359,12.952007,2.2475562,2.288904778506919e-38,1.6063838922865359e-35
ENSMUSG00000060147,12.907079,2.0618994,4.105815478145093e-38,2.8066714741252615e-35
ENSMUSG00000018920,12.90459,2.1975965,4.2406932198988334e-38,2.8617067733666027e-35
ENSMUSG00000031584,12.892593,2.0027573,4.954892352097665e-38,3.30133814993687e-35
ENSMUSG00000021024,12.889198,1.9034806,5.177907329032583e-38,3.4068041271369883e-35
ENSMUSG00000015143,12.884219,2.1985784,5.523164913222361e-38,3.5891025724984224e-35
ENSMUSG00000025381,12.862378,1.982915,7.328712933615907e-38,4.704318706997644e-35
ENSMUSG00000030717,12.84744,3.3048298,8.890451514881388e-38,5.638045854666225e-35
ENSMUSG00000018171,12.841102,2.191665,9.649104242975225e-38,6.046312511110047e-35
ENSMUSG00000063556,12.837255,2.081433,1.014075917582626e-37,6.279635293868129e-35
ENSMUSG00000025351,12.834085,2.7740462,1.0564289468426814e-37,6.465836516978067e-35
ENSMUSG00000029994,12.831822,2.2149227,1.0877531999782985e-37,6.525284653692683e-35
ENSMUSG00000024997,12.831595,2.0563421,1.0909359554771565e-37,6.525284653692683e-35
ENSMUSG00000023106,12.826504,1.9634787,1.1650467274131729e-37,6.89026961169885e-35
ENSMUSG00000030688,12.813942,2.31447,1.3699484419699822e-37,8.012067354614665e-35
ENSMUSG00000032279,12.811226,2.1664877,1.418758342086297e-37,8.206347702643332e-35
ENSMUSG00000002778,12.800927,1.9345467,1.6200513282397436e-37,9.268806707959471e-35
ENSMUSG00000028266,12.793571,2.1275508,1.7809762636941073e-37,1.007994264686054e-34
ENSMUSG00000045394,12.786555,3.007167,1.9492495449326274e-37,1.0914967983731252e-34
ENSMUSG00000029776,12.779538,1.8705319,2.1333175067737155e-37,1.1819926345951714e-34
ENSMUSG00000003617,12.725218,2.4179022,4.2827987980831345e-37,2.348222890998999e-34
ENSMUSG00000024583,12.717635,1.9874741,4.7192648088515725e-37,2.5608579636980555e-34
ENSMUSG00000016252,12.712996,2.1702988,5.0078735620961926e-37,2.689739110351992e-34
ENSMUSG00000021678,12.692851,2.3483295,6.478347105016055e-37,3.444386648683082e-34
ENSMUSG00000062169,12.6821,1.792467,7.431335242918635e-37,3.911557618462653e-34
ENSMUSG00000040681,12.674405,2.3327305,8.197834682771935e-37,4.272289369924589e-34
ENSMUSG00000009376,12.667049,2.240021,9.003818338487218e-37,4.64632335357464e-34
ENSMUSG00000028716,12.655167,2.5615,1.0475338556145221e-36,5.353203109138446e-34
ENSMUSG00000003062,12.650866,2.0192795,1.1064840355909533e-36,5.600085932438983e-34
ENSMUSG00000030963,12.646565,2.7212832,1.1687301651036614e-36,5.858788663847268e-34
ENSMUSG00000038366,12.635475,2.0007713,1.3457880642389293e-36,6.682726466913234e-34
ENSMUSG00000006589,12.631967,2.0347085,1.4071634511499435e-36,6.922192094834432e-34
ENSMUSG00000003534,12.625855,2.101344,1.52079069328339e-36,7.41188323441338e-34
ENSMUSG00000020875,12.62065,2.341328,1.6247455233217738e-36,7.845881226198613e-34
ENSMUSG00000100862,12.591,2.9712744,2.366563088834033e-36,1.1324219522169832e-33
ENSMUSG00000019158,12.582739,1.8635381,2.6275998573794948e-36,1.246003117955199e-33
ENSMUSG00000033543,12.574138,1.8524425,2.9297901621729388e-36,1.3768967408583464e-33
ENSMUSG00000022551,12.545167,2.0312233,4.225240191484223e-36,1.9681393160970226e-33
ENSMUSG00000018849,12.541205,2.3933737,4.441846714238663e-36,2.050886347812862e-33
ENSMUSG00000002768,12.535095,1.7342154,4.797876361913817e-36,2.1960088711799625e-33
