,control,nephritis,delta_nephritis_minus_control
Esr1,1.5412482510872247,3.487457142662297,1.9462088915750724
Hnf4a,0.6824918076221452,2.4676726509976876,1.7851808433755423
Tfap2c,0.5956246016288222,2.1242054386093923,1.52858083698057
Ar,1.1559965549217446,2.5616117074796,1.4056151525578553
Foxa1,1.0634281118768771,2.153286956838355,1.0898588449614777
Mitf,0.6423943733807811,1.6004685125675286,0.9580741391867476
E2f1,0.12742382490466309,1.0007812787675674,0.8733574538629043
Gata3,0.40803085458968597,1.1968183045204348,0.7887874499307488
Lef1,0.12253298101030423,0.8915575516371409,0.7690245706268367
Atf3,0.21597335605589218,0.9629964232232113,0.7470230671673191
Gata2,0.7511618950268637,1.494285063389743,0.7431231683628794
Pou2f1,0.24741731207843964,0.9626939307606197,0.7152766186821801
Tcf7l2,0.02786304209665124,0.6965258787505718,0.6686628366539206
Mycn,0.09121192483289148,0.7445955592681164,0.6533836344352248
Foxa2,0.0779915375098887,0.6881322926921081,0.6101407551822193
Cebpa,0.21956484894354433,0.801591917521457,0.5820270685779126
Vdr,1.2167134592442026,1.792327930187263,0.5756144709430604
Epas1,0.4759730356903588,1.0204084700633989,0.54443543437304
Egr1,0.7450458562567216,1.2083554444348907,0.46330958817816914
Myc,0.28170552750151306,0.6530249364768553,0.37131940897534227
Atf4,0.8095513134484108,1.1269191221908383,0.31736780874242754
Hif1a,0.8576772386871285,1.1707978448459482,0.31312060615881965
Smad3,0.3312161680498306,0.6189696847075158,0.28775351665768517
Erg,-0.060618569922049774,0.2165899910127569,0.27720856093480667
Rara,0.43304564027256687,0.7094805125237895,0.27643487225122265
Irf9,0.670593819147502,0.9365900560235729,0.2659962368760709
Pax8,0.4770383812165769,0.7342894395105837,0.2572510582940068
E2f4,0.06435339760309883,0.31374992040048366,0.24939652279738483
Ppara,-0.009502322747921645,0.23140514025822612,0.24090746300614777
E2f2,-0.23867155411006447,-0.01298812075632071,0.22568343335374375
Nfic,-0.3333505687402372,-0.12241170690933027,0.21093886183090693
Klf5,-0.0746448717380277,0.13573963714895404,0.21038450888698174
Fosl2,0.7570071212407984,0.9603317827247126,0.20332466148391426
Hnf1a,-0.43509811262550413,-0.23760414420655035,0.19749396841895378
Fli1,0.47112074148720756,0.6678435119553606,0.19672277046815306
