rank,path,score,hop
1,MES -> SMC -> POD -> PEC -> IMM,1.264146432420228,4
2,SMC -> MES -> POD -> PEC -> IMM,1.1649149380530561,4
3,SMC -> POD -> MES -> PEC -> IMM,1.144410100887369,4
4,PEC -> MES -> SMC -> POD -> IMM,1.139203308541592,4
5,TEC -> MES -> POD -> PEC -> IMM,1.1369544863962446,4
6,MES -> PEC -> SMC -> POD -> IMM,1.13519870112165,4
7,POD -> PEC -> MES -> SMC -> IMM,1.123370151073216,4
8,MES -> SMC -> PEC -> POD -> IMM,1.1207547403530058,4
9,POD -> PEC -> IMM -> MES -> SMC,1.1169519018965608,4
10,TEC -> SMC -> POD -> PEC -> IMM,1.113884154624745,4
11,SMC -> MES -> PEC -> POD -> IMM,1.095553900466669,4
12,SMC -> PEC -> MES -> POD -> IMM,1.092827923513745,4
13,MES -> POD -> SMC -> PEC -> IMM,1.092106322953362,4
14,POD -> MES -> SMC -> PEC -> IMM,1.089250338434496,4
15,END -> MES -> POD -> PEC -> IMM,1.089055437557972,4
