rank,path,score,hop
1,POD -> IMM -> PEC -> TEC -> END,2.3731826876579762,4
2,IMM -> POD -> PEC -> TEC -> END,2.3673027431989038,4
3,PEC -> POD -> IMM -> TEC -> END,2.346146218724553,4
4,POD -> PEC -> IMM -> TEC -> END,2.3457397938923004,4
5,PEC -> IMM -> POD -> TEC -> END,2.3042748250764875,4
6,MES -> PEC -> IMM -> TEC -> END,2.30349187478987,4
7,IMM -> PEC -> POD -> TEC -> END,2.2979884557851618,4
8,TEC -> END -> IMM -> POD -> PEC,2.255253384653857,4
9,TEC -> END -> IMM -> PEC -> POD,2.2548469598216037,4
10,MES -> PEC -> POD -> TEC -> END,2.249860592223659,4
11,MES -> POD -> PEC -> TEC -> END,2.243782023141363,4
12,IMM -> PEC -> MES -> TEC -> END,2.233129491063229,4
13,SMC -> IMM -> PEC -> TEC -> END,2.233033071895186,4
14,SMC -> POD -> PEC -> TEC -> END,2.229073925389165,4
15,MES -> POD -> IMM -> TEC -> END,2.228911867958338,4
