cluster,names,scores,logfoldchanges,pvals,pvals_adj
0,ENSMUSG00000031465,21.136911,5.9013925,3.641404283357522e-99,1.9166895585880653e-94
0,ENSMUSG00000024552,21.052586,5.840446,2.165384197571638e-98,5.698858131169037e-94
0,ENSMUSG00000040998,20.248034,4.758662,3.6971314544195884e-91,6.486740374494316e-87
0,ENSMUSG00000005220,19.910543,5.8003035,3.297165019235981e-88,4.338739448812627e-84
0,ENSMUSG00000037747,19.727324,4.683241,1.256496456148175e-86,1.2423626605150967e-82
0,ENSMUSG00000074896,19.721273,5.129194,1.4161744743313664e-86,1.2423626605150967e-82
0,ENSMUSG00000062488,19.122349,4.655529,1.645259198049268e-81,1.2371409021217323e-77
0,ENSMUSG00000050520,18.738932,4.3784533,2.383626798535016e-78,1.5683072520961135e-74
0,ENSMUSG00000030934,18.700905,3.49191,4.867126741343332e-78,2.84651203508164e-74
0,ENSMUSG00000033998,18.552996,3.847722,7.71312840085759e-77,4.059882265075401e-73
0,ENSMUSG00000072941,18.545958,4.8793793,8.791998496240784e-77,4.207051207710272e-73
0,ENSMUSG00000078670,18.145687,3.6002707,1.3888555250426988e-73,6.091983284678958e-70
0,ENSMUSG00000032060,17.642017,5.0634413,1.172029285123171e-69,4.745456419364865e-66
0,ENSMUSG00000020607,17.623621,4.1122007,1.622793523329079e-69,6.101239992424957e-66
0,ENSMUSG00000015890,17.467562,5.1369963,2.5308113638631096e-68,8.880785796553242e-65
0,ENSMUSG00000039062,17.26323,4.6737647,8.899245906260548e-67,2.9276294220120637e-63
0,ENSMUSG00000029546,17.021547,4.0301495,5.68474434898305e-65,1.760130609135717e-61
0,ENSMUSG00000018102,16.77425,3.269823,3.7658486360171166e-63,1.1012178266966497e-59
0,ENSMUSG00000030268,16.72184,3.3339412,9.087078381361418e-63,2.5174076720070506e-59
0,ENSMUSG00000030717,16.623623,4.652435,4.700363859572661e-62,1.2370417605623329e-58
0,ENSMUSG00000074794,16.419846,3.1987252,1.3791534199828098e-60,3.4568152102007224e-57
0,ENSMUSG00000024039,16.410833,3.8858507,1.5999369842692613e-60,3.827921959272584e-57
0,ENSMUSG00000060969,16.202303,3.5149138,4.857348812088515e-59,1.111614835100396e-55
0,ENSMUSG00000026526,16.161251,3.249072,9.462166473378998e-59,2.0752108103865707e-55
0,ENSMUSG00000027978,16.028341,5.04325,8.101544589032108e-58,1.7057316039531764e-54
0,ENSMUSG00000004085,16.022354,3.5169811,8.920797761458069e-58,1.8059811960465651e-54
0,ENSMUSG00000027698,15.977969,2.9579487,1.8197972918816692e-57,3.547661120573464e-54
0,ENSMUSG00000020875,15.69573,2.7359362,1.617706120153188e-55,3.041056405013686e-52
0,ENSMUSG00000040152,15.655542,2.9638755,3.045050539757877e-55,5.526871731403297e-52
0,ENSMUSG00000057315,15.54282,2.7404482,1.7797644882140162e-54,3.122656120054432e-51
0,ENSMUSG00000020186,15.231937,2.8238945,2.1706186125985654e-52,3.685570364281873e-49
0,ENSMUSG00000036181,15.186688,3.532827,4.332638633772911e-52,7.126648972727217e-49
0,ENSMUSG00000050295,15.142488,2.9074852,8.493855806851353e-52,1.3547957401497813e-48
0,ENSMUSG00000039952,14.955811,2.6120136,1.427334464709125e-50,2.209681673071456e-47
0,ENSMUSG00000041731,14.861237,2.8738246,5.88288023632299e-50,8.847179546259912e-47
0,ENSMUSG00000053897,14.835927,3.147637,8.58104125432395e-50,1.2546435762849871e-46
0,ENSMUSG00000060402,14.782529,2.8793604,1.8990039346601296e-49,2.701512732561367e-46
0,ENSMUSG00000066058,14.719624,2.9331572,4.82335929341989e-49,6.681114204432877e-46
0,ENSMUSG00000024054,14.666225,2.721465,1.0608413127663949e-48,1.4317549574044094e-45
0,ENSMUSG00000038508,14.60258,3.4437325,2.70415169835863e-48,3.5583932198701214e-45
0,ENSMUSG00000039842,14.49529,4.8004155,1.2975369117470843e-47,1.665784216749257e-44
0,ENSMUSG00000001504,14.488808,3.035697,1.4259614910350906e-47,1.787069262907691e-44
0,ENSMUSG00000023010,14.448867,1.7827893,2.5484238695592914e-47,3.119507879026113e-44
0,ENSMUSG00000021379,14.420409,2.9509206,3.8505482964916638e-47,4.606305912139437e-44
0,ENSMUSG00000113346,14.401581,3.0860927,5.057355494757786e-47,5.915532529379351e-44
0,ENSMUSG00000022466,14.308551,2.6948364,1.935046363468665e-46,2.214197834511666e-43
0,ENSMUSG00000060981,14.29639,3.0193846,2.304603619600655e-46,2.5809599174744696e-43
0,ENSMUSG00000039910,14.221261,2.8893092,6.7622907012897474e-46,7.415415278189316e-43
0,ENSMUSG00000032278,14.20694,2.726879,8.297310001571227e-46,8.913004270259248e-43
0,ENSMUSG00000001763,14.16916,2.4932508,1.4219191877542133e-45,1.4968827673326155e-42
0,ENSMUSG00000014329,14.075636,2.484796,5.362057874621165e-45,5.534064280167836e-42
0,ENSMUSG00000024245,14.045201,3.4682884,8.243326654809366e-45,8.34414888081819e-42
0,ENSMUSG00000028583,13.998779,2.8338387,1.585709640925134e-44,1.5748191067874592e-41
